mysqld, Version: 5.7.28-log (MySQL Community Server (GPL)). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2020-11-23T13:19:32.923483Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.923579Z	    5 Query	show table status like 'ndb\_binlog\_index'
2020-11-23T13:19:32.929000Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.929121Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.929195Z	    5 Query	show create table `ndb_binlog_index`
2020-11-23T13:19:32.929313Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.929455Z	    5 Query	show fields from `ndb_binlog_index`
2020-11-23T13:19:32.929766Z	    5 Query	show fields from `ndb_binlog_index`
2020-11-23T13:19:32.930034Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `ndb_binlog_index`
2020-11-23T13:19:32.930217Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.930327Z	    5 Query	use `mysql`
2020-11-23T13:19:32.930417Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.930524Z	    5 Query	SHOW TRIGGERS LIKE 'ndb\_binlog\_index'
2020-11-23T13:19:32.930831Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.930921Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.931018Z	    5 Query	show table status like 'plugin'
2020-11-23T13:19:32.931277Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.931365Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.931450Z	    5 Query	show create table `plugin`
2020-11-23T13:19:32.931544Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.931649Z	    5 Query	show fields from `plugin`
2020-11-23T13:19:32.931870Z	    5 Query	show fields from `plugin`
2020-11-23T13:19:32.932109Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `plugin`
